company_name,isin_code
PRZEDSIĘBIORSTWO MODERNIZACJI URZĄDZEŃ ENERGETYCZNYCH REMAK SA,PLREMAK00016
POLMT,PLPOLMT00017
BETACOM SA,PLBTCOM00016
KOMPUTRONIK SPÓŁKA AKCYJNA,PLKMPTR00012
STAR FITNESS SPÓŁKA AKCYJNA,PLSTRFT00011
PLAYMAKERS SPÓŁKA AKCYJNA,removed
7FIT SPÓŁKA AKCYJNA,PLTRCPS00016
OLYMPIC ENTERTAINMENT GROUP AS,EE3100084021
LUBELSKI WĘGIEL BOGDANKA SPÓŁKA AKCYJNA,PLLWBGD00016
CENTRUM NOWOCZESNYCH TECHNOLOGII SA,PLERGPL00014
POWSZECHNA KASA OSZCZĘDNOŚCI BANK POLSKI SA,PLPKO0000016
JASTRZĘBSKA SPÓŁKA WĘGLOWA SPÓŁKA AKCYJNA,PLJSW0000015
HELIO SPÓŁKA AKCYJNA,PLHELIO00014
PPH WADEX S.A.,removed
QUMAK SA,PLQMKSK00017
DROZAPOL-PROFIL SA,PLDRZPL00032
GRUPA KAPITAŁOWA IMMOBILE SPÓŁKA AKCYJNA,PLMAKRM00019
3R GAMES SPÓŁKA AKCYJNA,PLGRNKT00019
WISTIL SA,removed
W INVESTMENTS SA,PLARIEL00046
ZUE SPÓŁKA AKCYJNA,PLZUE0000015
KORPORACJA BUDOWLANA DOM SA,PLTRAST00020
ECHO INVESTMENT SPÓŁKA AKCYJNA,PLECHPS00019
CELTIC PROPERTY DEVELOPMENTS SPÓŁKA AKCYJNA,PLCELPD00013
ESOTIQ & HENDERSON SA,PLESTHN00018
RAFAKO SA,PLRAFAK00018
WIKANA SA,PLELPO000016
MANYDEV,PLADDRG00015
ROBYG SPÓŁKA AKCYJNA,PLROBYG00016
PKP CARGO SPÓŁKA AKCYJNA,PLPKPCR00011
IZOSTAL SPÓŁKA AKCYJNA,PLIZSTL00015
WANDALEX SA,PLWNDLX00024
FABRYKI MEBLI FORTE SA,PLFORTE00012
UNIBEP SPÓŁKA AKCYJNA,PLUNBEP00015
PRAGMA INKASO SPÓŁKA AKCYJNA,PLPRGNK00017
ABC DATA SPÓŁKA AKCYJNA,PLABCDT00014
SANOK RUBBER COMPANY SPÓŁKA AKCYJNA,PLSTLSK00016
LPP SA,PLLPP0000011
KGHM POLSKA MIEDŹ SPÓŁKA AKCYJNA,PLKGHM000017
PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO BALTONA SPÓŁKA AKCYJNA,PLBALTN00014
ATM GRUPA SA,PLATM0000021
AMBRA S.A.,PLAMBRA00013
BANK GOSPODARKI ŻYWNOŚCIOWEJ SA,PLBGZ0000010
NEW TECH CAPITAL SA,PLECMNG00019
SYNEKTIK SPÓŁKA AKCYJNA,PLSNKTK00019
LIBET SPÓŁKA AKCYJNA,PLLBT0000013
ELEKTROCIEPLOWNIA BĘDZIN SA,PLECBDZ00013
ZETKAMA FABRYKA ARMATURY PRZEMYSŁOWEJ SPÓŁKA AKCYJNA,PLZTKMA00017
EKOKOGENERACJA SPÓŁKA AKCYJNA,PLEKGNR00011
PLANET SOFT SPÓŁKA AKCYJNA,PLPLNTS00016
Korporacja Budowlana Kopahaus S.A.,PLKPHUS00018
AIRWAY MEDIX SA,PLAIRWY00017
SKARBIEC HOLDING SPÓLKA AKCYJNA,PLSKRBH00014
Infovide-Matrix Spółka Akcyjna,PLMATRX00017
TREX SPÓŁKA AKCYJNA,PLAUXLM00026
PFLEIDERER GROUP SA,PLZPW0000017
Rubicon Partners SA,PLNFI0500012
VISTULA GROUP SA,PLVSTLA00011
CD PROJEKT Spółka Akcyjna,PLOPTTC00011
PRIMETECH SPÓŁKA AKCYJNA,PLKOPEX00018
TERMO-REX SPÓŁKA AKCYJNA,PLTRMRX00011
HORNIGOLD REIT SPÓŁKA AKCYJNA,PLMBLPR00018
IMPEL SA,PLIMPEL00011
COMECO SPÓŁKA AKCYJNA,PLCOMEC00016
VAKOMTEK SPÓŁKA AKCYJNA,PLVKMTK00015
MYCODERN SPÓŁKA AKCYJNA,PLMDNPL00013
KLEBA INVEST SPÓŁKA AKCYJNA,PLWTTMN00075
FLUID SA,PLFLUID00017
MLP GROUP SPÓŁKA AKCYJNA,PLMLPGR00017
MILESTONE MEDICAL INC,USU6005B1045
DROP SPÓLKA AKCYJNA,PLDROP000011
ALFA STAR SPÓŁKA AKCYJNA,PLDBNSZ00010
BLACK PEARL CAPITAL SPÓŁKA AKCYJNA,PLBLKPC00014
MIT Mobile Internet Technology SA,removed
MNI SA,PLSZPTL00010
Hyperion Spółka Akcyjna,PLHPRON00017
CYFROWE CENTRUM SERWISOWE SPÓŁKA AKCYJNA,PLCCS0000012
MEDICA PRO FAMILIA SPÓŁKA AKCYJNA,PLMDCPF00018
2C PARTNERS SPÓŁKA AKCYJNA,PL2CPRT00030
PRZEDSIĘBIORSTWO MONTAŻU KONSTRUKCJI STALOWYCH I URZĄDZEŃ GÓRNICZYCH PEMUG SA,PLPEMUG00016
MO-BRUK SPÓŁKA AKCYJNA,PLMOBRK00013
ONE MORE LEVEL SPÓŁKA AKCYJNA,PLLSRMD00018
TECHMADEX SPÓŁKA AKCYJNA,PLTHMDX00012
EXAMOBILE SPÓŁKA AKCYJNA,PLEXMBL00010
VEDIA SPÓLKA AKCYJNA,PLVEDIA00011
PEMANAGER,PLPREQM00011
INFRA SPÓŁKA AKCYJNA,PLINFRA00015
VERTE SA,PLVERTE00010
KCI SA,PLPONAR00012
CYFROWY POLSAT SPOŁKA AKCYJNA,PLCFRPT00013
OPONEO.PL SPÓŁKA AKCYJNA,PLOPNPL00013
TAURON POLSKA ENERGIA SPÓŁKA AKCYJNA,PLTAURN00011
